"rule-name"	"rule-boolean"
"acetate->acetaldehyde"	"('aldh' | 'aldh7A1' | 'aldh9A1')"
"acetaldehyde->ethanol"	"('adh' | 'adh1' | 'adh4' | 'adh6' | 'adh17' | 'adhP' | 'adhE' | 'exaA' | 'yiaY')"
"acetyl-CoA->acetaldehyde"	"('adhE')"
"pyruvate->acetaldehyde"	"('pdc')"
"pyruvate->ethanol"	"((('pdc')) & (('adh' | 'adh1' | 'adh4' | 'adh6' | 'adh17' | 'adhP' | 'adhE' | 'exaA' | 'yiaY')))"
"pyruvate->lactate"	"('ldh')"
"xylulose 5-phosphate->acetyl-P+G3P"	"('xpk')"
"propanoyl phosphate->propionate"	"('tdcD' | 'pduW')"
"propionate fermentation_succinatepathway"	"((('mut')) & (('epi')) & (('tdcD' | 'pduW')))"
"3PG->2PG"	"('gpmA' | 'gpmB' | 'gpmI' | 'apgM')"
"2PG->PEP"	"('eno')"
"pyruvate->acetate"	"('poxB')"
"pyruvate->propionate+acetate+CO2"	"('pct')"
"pyruvate->propanoate"	"('scpC')"
"acetylene->acetaldehyde"	"('ahy')"
"acetaldehyde->acetyl-CoA"	"('aldh')"
"acetylene->acetate"	"((('ahy')) & (('aldh')) & (('pta1' | 'pta2' | 'pta3')) & (('ackA')))"
"acetylene->ethanol"	"((('ahy')) & (('adh' | 'adh1' | 'adh4' | 'adh6' | 'adh17' | 'adhP' | 'adhE' | 'exaA' | 'yiaY')))"
"acetylene->acetate+ethanol"	"((((('ahy')) & (('aldh')) & (('pta1' | 'pta2' | 'pta3')) & (('ackA')))) & (((('ahy')) & (('adh' | 'adh1' | 'adh4' | 'adh6' | 'adh17' | 'adhP' | 'adhE' | 'exaA' | 'yiaY')))))"
"resorcinol->hydroxyhydroquinone"	"('graA')"
"resorcinol degradation"	"(('graA'))"
"glycerol->DHA"	"('gldA')"
"DHA->DHAP"	"('dak')"
"glycerol->3-hydroxypropanal_and"	"('dhbE' & 'dhaC' & 'dhaB')"
"glycerol->3-hydroxypropanal_or"	"('dhbE' | 'dhaC' | 'dhaB')"
"3-hydroxypropanal->1,3-PDO"	"('dhaT')"
"glycerol->1,3-PDO"	"(('dhbE' | 'dhaC' | 'dhaB') & ('dhaT'))"
"glycerol degradation"	"((('gldA')) | (('dhbE' | 'dhaC' | 'dhaB')))"
"galacturonate->tagaturonate"	"('uxaC')"
"tagaturonate->altronate"	"('uxaB')"
"altronate->2Keto3deoxyDgluconate"	"('uxaA')"
"galacturonate degradation"	"((('uxaC')) & (('uxaB')) & (('uxaA')))"
"galactose->alphagalactose"	"('galM')"
"alphagalactose->galactose1P"	"('galK')"
"galactose1P->UDP-galactose"	"('galT')"
"UDP-galactose->UDP-glucose"	"('galE' | 'capD')"
"galactose degradation"	"((('galM')) & (('galK')) & (('galT')) & (('galE' | 'capD')))"
"mannose6P->fructose6P"	"('manA')"
"mannose degradation"	"(('manA'))"
"fucose->fuculose"	"('fucI')"
"fuculose->fuculose1P"	"('fucK')"
"fuculose1P->glyceroneP"	"('fucA')"
"fucose degradation"	"((('fucI')) & (('fucK')) & (('fucA')))"
"fructose->fructose6P"	"('scrK')"
"fructose degradation"	"(('scrK'))"
"glucuronate->fructuronate"	"('uxaC')"
"fructuronate->mannonate"	"('uxuB')"
"mannonate->2Keto3deoxyDgluconate"	"('uxuA')"
"glucuronate degradation"	"(('uxaC') & ('uxuB') & ('uxuA'))"
"isocitrate->alpha-ketoglutarate"	"('icd' | 'hicdh')"
"alpha-ketoglutarate->succinyl-CoA"	"('pdhD' | 'ogdh' | 'dlst')"
"isocitrate->glyoxylate+succinate"	"('aceA')"
"glyoxylate->malate"	"('aceB')"
"oxaloacetate+acetyl-CoA->citrate"	"('gltA' | 'crs')"
"glyoxylatecycle_full"	"(((('sdhA' & 'sdhB' & 'sdhC') | ('frdA' & 'frdB' & 'frdC'))) & (('fumI' | ('fumalpha' & 'fumbeta') | 'fumII')) & (('mdh')) & (('gltA' | 'crs')) & (('acnA' | 'acnB')) & (('aceA')) & (('aceB')))"
"glyoxylatecycle_key"	"(('aceA'))"
"TCA cycle_key"	"(('pdhD' | 'ogdh' | 'dlst'))"
"TCA cycle_full"	"(((((('sdhA' & 'sdhB' & 'sdhC') | ('frdA' & 'frdB' & 'frdC'))) & (('fumI' | ('fumalpha' & 'fumbeta') | 'fumII')) & (('mdh')) & (('gltA' | 'crs')) & (('acnA' | 'acnB')) & (('aceA')) & (('aceB')))) & (('icd' | 'hicdh')) & (('pdhD' | 'ogdh' | 'dlst')) & (('sucC' | 'sucD')))"
"TCA cycle_partial"	"(((((('sdhA' & 'sdhB' & 'sdhC') | ('frdA' & 'frdB' & 'frdC'))) & (('fumI' | ('fumalpha' & 'fumbeta') | 'fumII')) & (('mdh')) & (('gltA' | 'crs')) & (('acnA' | 'acnB')) & (('aceA')) & (('aceB')))) | (('icd' | 'hicdh')) | (('pdhD' | 'ogdh' | 'dlst')) | (('sucC' | 'sucD')))"
"narGHI_and"	"('narG' & 'narH' & 'narI')"
"narGHI_or"	"('narG' | 'narH' | 'narI')"
"napAB_and"	"('napA' & 'napB')"
"napAB_or"	"('napA' | 'napB')"
"nirSK_and"	"('nirS' & 'nirK')"
"nirSK_or"	"('nirS' | 'nirK')"
"nirBC_and"	"('nirB' & 'nirC')"
"nirBC_or"	"('nirB' | 'nirC')"
"norBC_and"	"('norB' & 'norC')"
"norBC_or"	"('norB' | 'norC')"
"norVW_and"	"('norV' & 'norW')"
"norVW_or"	"('norV' | 'norW')"
"nasAB_and"	"('nasA' & 'nasB')"
"nasAB_or"	"('nasA' | 'nasB')"
"hzsABC_and"	"('hzsA' & 'hzsB' & 'hzsC')"
"hzsABC_or"	"('hzsA' | 'hzsB' | 'hzsC')"
"nifDKH_and"	"('nifD' & 'nifK' & 'nifH')"
"nifDKH_or"	"('nifD' & 'nifK' & 'nifH')"
"pmoamoABC_and"	"('pmoA-amoA' & 'pmoB-amoB' & 'pmoC-amoC')"
"pmoamoABC_or"	"('pmoA-amoA' | 'pmoB-amoB' | 'pmoC-amoC')"
"vnfDGKH_and"	"('vnfD' & 'vnfG' & 'vnfK' & 'vnfH')"
"vnfDGKH_or"	"('vnfD' | 'vnfG' | 'vnfK' | 'vnfH')"
"nitrate->nitrite_dissimilatory_full"	"(('narG' & 'narH' & 'narI') & ('napA' & 'napB'))"
"nitrate->nitrite_dissimilatory_partial"	"(('narG' | 'narH' | 'narI') & ('napA' | 'napB'))"
"nitrite->nitricoxide_full"	"('nirS' & 'nirK')"
"nitrite->nitricoxide_partial"	"('nirS' | 'nirK')"
"nitricoxide->nitrousoxide_full"	"((('norB' & 'norC')) | (('norV' & 'norW')))"
"nitricoxide->nitrousoxide_partial"	"((('norB' | 'norC')) | (('norV' | 'norW')))"
"nitrousoxide->dinitrogen"	"('nosZ')"
"nitrate->nitricoxide_complete"	"(('narG' | 'narH' | 'narI') & ('napA' | 'napB') & ('nirS' | 'nirK'))"
"nitrate->nitrousoxide_complete"	"(('narG' | 'narH' | 'narI') & ('napA' | 'napB') & ('nirS' | 'nirK'))"
"nitrate->dinitrogen_complete"	"(('narG' | 'narH' | 'narI') & ('napA' | 'napB') & ('nirS' | 'nirK') & ('nosZ'))"
"nitrite->nitrate_full"	"('narG' & 'narH')"
"nitrite->nitrate_partial"	"('narG' | 'narH')"
"nitrate->nitrite_assimilatory_full"	"((('nasA' & 'nasB')) | ('narB') | ('nr'))"
"nitrate->nitrite_assimilatory_partial"	"((('nasA' | 'nasB')) | ('narB') | ('nr'))"
"nitrite->ammonia_dissimilatory_full"	"(('nirB' & 'nirD' & 'nrfA' & 'nrfH') | ('nirA' | 'nit6'))"
